SKU Variacao;SKU Pai;Nome do produto;Categoria;Subcategoria;Descricao curta;Descricao completa;Unidade de venda;Qtd por embalagem;Marca;URL da imagem;Status;Estoque
39232110/01;39232110;Saco P/lixo 20 LT Preto Em Alta;Papel e Descartáveis;Sacos para Lixo;Resistente, para coleta seletiva;;Galão (20L);1;Sos;;Inativo;0
39232110/02;39232110;Saco P/lixo 100 LT Preto Em Alta;Papel e Descartáveis;Sacos para Lixo;Resistente, para coleta seletiva;;Galão (100L);1;Sos;;Inativo;0
39232110/03;39232110;Saco P/lixo 200 LT Preto Ref 83x97cm;Papel e Descartáveis;Sacos para Lixo;Resistente, para coleta seletiva;;Galão (200L);1;Rava;;Inativo;0
39232110/04;39232110;Saco P/lixo 40 LT Preto Em Alta;Papel e Descartáveis;Sacos para Lixo;Resistente, para coleta seletiva;;Galão (40L);1;Sos;;Inativo;0
39249000/01;39249000;Balde Com Tampa 60lt Branca;Utensílios de Limpeza;Baldes;Produto profissional;;Barrica (5L);1;Larplastico;;Ativo;8
39249000/1;39249000;Desentupidor Para Vaso Sanitário Cabo Longo;Outros;Outros;Produto profissional;;Unidade;1;;;Inativo;0
39249000/2;39249000;Balde C/espremedor Azul 12lt;Utensílios de Limpeza;Baldes com Espremedor;Sistema duplo, alta capacidade;;Barrica (5L);1;Bralimpia;;Inativo;0
39249000/3;39249000;Lixeira 65lt C/tampa 52x42;Equipamentos de Higiene;Coletores e Contentores;Produto profissional;;Galão (65L);1;;;Inativo;0
39249000/4;39249000;Balde S/espremedor 14lt;Utensílios de Limpeza;Baldes;Sistema duplo, alta capacidade;;Barrica (5L);1;Bettanin;;Inativo;0
39249000/5;39249000;Balde C/espremedor Vermelho 12lt;Utensílios de Limpeza;Baldes com Espremedor;Sistema duplo, alta capacidade;;Barrica (5L);1;Bralimpia;;Inativo;0
40151900/01;40151900;Luva Latex Proced. CX C/100 UN G;EPI e Segurança;Luvas de Borracha;Proteção química e mecânica;;Caixa;100;Volk;;Inativo;0
40169200/01;40169200;Borracha Bca 3cm;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Unidade;1;Axe;;Ativo;76
40169200/2;40169200;Borracha Bicolor;Alimentos - Bebidas e Mercearia;Café e Chás;Produto profissional;;Unidade;1;Axe;;Ativo;66
